product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
ПГС,сеяный,,0-40,куб,750,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Гравий,,,5-20,куб,1350,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Гравий,,,20-40,куб,1300,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Гравий,,,120+,куб,0,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1377,"1,35","1020,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,"870,4","1,36","620,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,884,"1,36","650,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,"505,6","1,58","320,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,"540,6","1,59","340,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
ЩПС,,,0-40 (ТУ),куб,"376,8","1,57","240,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
ЩПС,,,0-20 (ТУ),куб,180,"1,5","120,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,174,"1,45","120,00",Кравцовское,"60.800940, 28.657783",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1562,"1,42","1100,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1001,"1,43","700,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,952,"1,36","700,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-150,куб,959,"1,37","700,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,"842,4","1,62","520,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,810,"1,62","500,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
